Character	MostCommon	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
Charlotte Palmer	Charlotte Lucas	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Charlotte Lucas	Lady Lucas	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Anne Steele	Fanny Dashwood	Lady Middleton	Lucy Steele	Mrs. Jennings	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Charlotte Lucas	Mrs. Bennet	Mrs. Hurst	Mr. Hurst	Mrs. Phillips	Anne Steele	Fanny Dashwood	Lady Middleton	Mrs. Jennings	Sir John Middleton	Charlotte Lucas	Mrs. Hurst	Mr. Hurst	Mrs. Phillips	Anne Steele	Fanny Dashwood	Lady Middleton	Lucy Steele	Mrs. Jennings	Sir John Middleton
Colonel Brandon	Frank Churchill	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Colonel Fitzwilliam	Edward Ferrars	John Willoughby	Captain Wentworth	Fitzwilliam Darcy	Frank Churchill	Henry Crawford	Charles Hayter	Captain Benwick	Isabella Thorpe	Frank Churchill	George Knightley	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	Henry Tilney	Captain Benwick	Charles Hayter	Captain Wentworth	Colonel Fitzwilliam	Colonel Fitzwilliam	Edward Ferrars	John Willoughby	Captain Wentworth	Fitzwilliam Darcy	William Collins	Admiral Croft	Captain Benwick	Captain Harville	Charles Hayter	Colonel Fitzwilliam	Edward Ferrars	John Willoughby	Captain Wentworth	Fitzwilliam Darcy	Julia Bertram	Henry Crawford	Frank Churchill	Henry Tilney	Captain Benwick
Edward Ferrars	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Elinor Dashwood	Emma Woodhouse	Emma Woodhouse	Jane Fairfax	Fanny Price	Mary Crawford	Catherine Morland	Eleanor Tilney	Anne Elliot	Lady Russell	Elizabeth Bennet	Elinor Dashwood	Emma Woodhouse	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Charlotte Lucas	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Marianne Dashwood	Emma Woodhouse	Edmund Bertram	Fanny Price	Eleanor Tilney	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Marianne Dashwood	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Emma Woodhouse	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Elizabeth Bennet
Fanny Dashwood	Augusta Elton	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Thorpe	Caroline Bingley	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Augusta Elton	Emma Woodhouse	Mrs. Cole	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Price	Mrs. Rushworth	Mrs. Thorpe	Mrs. Hurst	Augusta Elton	Emma Woodhouse	Mrs. Cole	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Mrs. Clay	Mrs. Hurst	Augusta Elton	Emma Woodhouse	Mrs. Cole	Philip Elton	Mrs. Norris	Mrs. Price	Mrs. Rushworth	Mrs. Thorpe	Mrs. Clay	Mrs. Hurst	Augusta Elton	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Thorpe	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Lady Middleton
John Dashwood	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Philip Elton	Augusta Elton	Mrs. Norris	Emma Woodhouse	Mrs. Price	Frank Churchill	Sir Walter Elliot	George Knightley	William Elliot	Harriet Smith	Lady Catherine de Bourgh	Isabella Knightley	Mrs. Bennet	Jane Fairfax	Mr. Phillips	John Knightley	Mrs. Phillips	Miss Bates	Fanny Dashwood	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
John Willoughby	George Wickham	George Wickham	Frank Churchill	Henry Crawford	Mary Crawford	Mr. Rushworth	Mr. Yates	John Thorpe	Captain Benwick	Charles Hayter	William Elliot	George Wickham	George Wickham	Henry Crawford	Mary Crawford	John Thorpe	William Elliot	William Collins	Lucy Steele	Julia Bertram	Maria Bertram	Mr. Rushworth	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	George Wickham	Henry Crawford	Mary Crawford	John Thorpe	William Elliot	William Collins	Lucy Steele	Julia Bertram	Maria Bertram	Mr. Rushworth
Lady Middleton	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Lucy Steele	Augusta Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Augusta Elton	Emma Woodhouse	Philip Elton	Edmund Bertram	Henry Crawford	Mary Crawford	Isabella Thorpe	John Thorpe	Mrs. Thorpe	John Willoughby	Augusta Elton	Emma Woodhouse	Philip Elton	Edmund Bertram	Henry Crawford	Mary Crawford	Mrs. Norris	Isabella Thorpe	Mrs. Thorpe	Fanny Dashwood	Augusta Elton	Emma Woodhouse	Philip Elton	Edmund Bertram	Henry Crawford	Mary Crawford	Mrs. Norris	Isabella Thorpe	Mrs. Thorpe	Fanny Dashwood	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Margaret Dashwood	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Marianne Dashwood	Emma Woodhouse	Emma Woodhouse	Jane Fairfax	Fanny Price	Mary Crawford	Catherine Morland	Isabella Thorpe	Anne Elliot	Elizabeth Bennet	Jane Bennet	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Edmund Bertram	Henry Crawford	Mary Crawford	Henry Tilney	Anne Elliot	Charles Bingley	Fitzwilliam Darcy	John Willoughby	Emma Woodhouse	Jane Fairfax	Fanny Price	Julia Bertram	Mary Crawford	Catherine Morland	Isabella Thorpe	Henrietta Musgrove	Louisa Musgrove	Lydia Bennet	Emma Woodhouse	Jane Fairfax	Fanny Price	Mary Crawford	Catherine Morland	Isabella Thorpe	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Emma Woodhouse	Fanny Price	Mary Crawford	Catherine Morland	Isabella Thorpe	Anne Elliot	Henrietta Musgrove	Louisa Musgrove	Elizabeth Bennet	Jane Bennet
Mrs. Dashwood	Elinor Dashwood	Elinor Dashwood	Fanny Dashwood	John Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Jennings	Sir John Middleton	Mrs. Price	Mrs. Morland	Mrs. Bennet	Elinor Dashwood	Fanny Dashwood	John Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Jennings	Sir John Middleton	Mrs. Allen	Mrs. Morland	Mrs. Musgrove	Elinor Dashwood	Fanny Dashwood	John Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Jennings	Sir John Middleton	Lady Middleton	Charlotte Palmer	Colonel Brandon	Elinor Dashwood	Fanny Dashwood	John Dashwood	Lady Middleton	Margaret Dashwood	Marianne Dashwood	Mrs. Jennings	Sir John Middleton	Thomas Palmer	Elinor Dashwood	Fanny Dashwood	John Dashwood	Margaret Dashwood	Marianne Dashwood	Mrs. Jennings	Sir John Middleton	Charlotte Lucas	Mrs. Allen	Mrs. Morland
Mrs. Jennings	Augusta Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Augusta Elton	Mr. Weston	Mrs. Cole	Mrs. Grant	Mrs. Norris	Mrs. Allen	Mrs. Clay	Mrs. Harville	Mrs. Musgrove	Mrs. Phillips	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Robert Ferrars	Augusta Elton	Philip Elton	Edmund Bertram	Henry Crawford	Julia Bertram	Maria Bertram	Mr. Rushworth	Mr. Yates	Mrs. Norris	Sir Thomas Bertram	William Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Augusta Elton	Philip Elton	Emma Woodhouse	Julia Bertram	Frank Churchill	Maria Bertram	George Knightley	Mary Crawford	Harriet Smith	Mr. Rushworth	Isabella Knightley	Mr. Yates	Jane Fairfax	Mrs. Norris	John Knightley	Sir Thomas Bertram	Miss Bates	William Elliot	Philip Elton	Edmund Bertram	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Sir Thomas Bertram	William Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Sir John Middleton	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Thomas Palmer	Charlotte Palmer	Charlotte Palmer	Mrs. Jennings	Lady Middleton	Sir John Middleton	Colonel Brandon	John Dashwood	Fanny Dashwood	Lucy Steele	Robert Ferrars	John Willoughby	Charlotte Palmer	Colonel Brandon	Edward Ferrars	Fanny Dashwood	John Dashwood	John Willoughby	Lady Middleton	Mrs. Jennings	Robert Ferrars	Sir John Middleton	Charlotte Palmer	Lady Middleton	Mrs. Jennings	Sir John Middleton	Colonel Brandon	Edward Ferrars	Elinor Dashwood	Fanny Dashwood	John Dashwood	John Willoughby	Charlotte Palmer	Lady Middleton	Mrs. Jennings	Sir John Middleton	Charlotte Palmer
